input,pred_before,pred_after,GT
"Each pack of dvds costs 76 dollars. If there is a discount of 25 dollars on each pack How much do you have to pay to buy each pack?
Each pack costs 76 dollars. There is a 25 dollar discount. So you have to pay 76 - 25 = 51 dollars. The answer is 51.
Therefore, the answer (arabic numerals) is",51,51,51
"Dan had $ 3 left with him after he bought a candy bar. If he had $ 4 at the start How much did the candy bar cost?
Dan started with 4 dollars. He had 3 dollars left. So he spent 4 - 3 = 1 dollar. The answer is 1.
Therefore, the answer (arabic numerals) is","That's correct! Dan started with $4 and had $3 left, so he spent $1. The correct answer is:

1",4,1
"Paco had 26 salty cookies and 17 sweet cookies. He ate 14 sweet cookies and 9 salty cookies. How many salty cookies did Paco have left?
Paco started with 26 salty cookies. After eating 9, he had 26 - 9 = 17. The answer is 17.
Therefore, the answer (arabic numerals) is",17,17,17
"43 children were riding on the bus. At the bus stop some children got off the bus. Then there were 21 children left on the bus. How many children got off the bus at the bus stop?
There were originally 43 children on the bus. After some children got off, there were 21 left. So 43 - 21 = 22 children must have gotten off the bus. The answer is 22.
Therefore, the answer (arabic numerals) is",22,22,22
"28 children were riding on the bus. At the bus stop 82 children got on the bus while some got off the bus. Then there were 30 children altogether on the bus. How many more children got on the bus than those that got off?
There were originally 28 children. 82 got on the bus. So 28 + 82 = 110 children got on the bus. After some got off, there were 30 children. So 110 - 30 = 80 children got off. 82 - 80 = 2. The answer is 2.
Therefore, the answer (arabic numerals) is",2,2,2
"There were 3 dollars in Olivia's wallet. She collected 49 more dollars from an atm. After she visited a supermarket there were 49 dollars left. How much more money did she collect at the atm than she spent at the supermarket?
Olivia started with 3 dollars. Then she collected 49 more. So she had 3 + 49 = 52 dollars. After spending some, she had 49 dollars left. So she must have spent 52 - 49 = 3 dollars. She collected 49 dollars at the atm, so she must have collected 49 - 3 = 46 dollars more than she spent. The answer is 46.
Therefore, the answer (arabic numerals) is",46,46,46
"Jerry had some action figures on a shelf in his room. Later he added 7 more action figures to the shelf. If there are a total of 10 action figures on his shelf now How many action figures did he have initially on the shelf?
There are 10 action figures total. 7 of them were added. So there were 10 - 7 = 3 action figures originally. The answer is 3.
Therefore, the answer (arabic numerals) is",3,3,3
"Paco had 41 cookies. He gave 9 cookies to his friend and ate 18 cookies. How many more cookies did he eat than those he gave to his friend?
Paco had 41 cookies. He gave 9 to his friend. So he had 41 - 9 = 32 cookies left. He ate 18 cookies. So he ate 18 - 9 = 9 more cookies than he gave to his friend. The answer is 9.
Therefore, the answer (arabic numerals) is",9,9,9
"Mary is baking a cake. The recipe calls for 3 cups of sugar 10 cups of flour and 15 cups of salt. She already put in 6 cups of flour. How many more cups of flour does she need to add?
The recipe calls for 10 cups of flour. Mary has already added 6 cups. So she needs 10 - 6 = 4 more cups. The answer is 4.
Therefore, the answer (arabic numerals) is",4,4,4
"A waiter had some customers. After 9 customers left he still had 12 customers. How many customers did he have at the start?
A simple and classic problem!

Let's break it down:

The waiter had some customers initially.
After 9 customers left, he still had 12 customers.

This means that the initial number of customers minus 9 is equal to 12.

Let's call the initial number of customers ""x"".

Then, we can set up the equation:

x - 9 = 12

To solve for x, we can add 9 to both sides of the equation:

x = 12 + 9
x = 21

So, the waiter had 21 customers at the start!
Therefore, the answer (arabic numerals) is",21,21,21
