input,pred_after,GT
"Joan found 70 seashells on the beach . she gave Sam some of her seashells . She has 27 seashell . How many seashells did she give to Sam ?
Joan started with 70 seashells. She has 27 left, so she gave Sam 70 - 27 = 43. The answer is 43.
Therefore, the answer (arabic numerals) is \textbf{43}",43,43.0
"There were 28 bales of hay in the barn . Tim stacked bales in the barn today . There are now 54 bales of hay in the barn . How many bales did he store in the barn ?
There were originally 28 bales. After Tim stored some, there were 54. So 54 - 28 = 26. The answer is 26.
Therefore, the answer (arabic numerals) is \textbf{26}",26,26.0
"Mary is baking a cake . The recipe wants 8 cups of flour . She already put in 2 cups . How many cups does she need to add ?
The recipe wants 8 cups of flour, and Mary already put in 2. So she needs 8 - 2 = 6 more.
Therefore, the answer (arabic numerals) is \textbf{6}",6,6.0
"Sara 's high school played 12 basketball games this year . The team won most of their games . They were defeated during 4 games . How many games did they win ?
The team played 12 games. They were defeated in 4 games. So they won 12 - 4 = 8.
#### 8
Therefore, the answer (arabic numerals) is \textbf{8}",8,8.0
"There are 22 walnut trees currently in the park . Park workers will plant walnut trees today . When the workers are finished there will be 55 walnut trees in the park . How many walnut trees did the workers plant today ?
The park started with 22 trees. There will be 55 after the workers are done. So the workers must have planted 55 - 22 = 33. The answer is 33.
Therefore, the answer (arabic numerals) is \textbf{33}",33,33.0
"Mike had 34 peaches at his roadside fruit dish . He went to the orchard and picked peaches to stock up . There are now 86 peaches . how many did he pick ?
Mike started with 34 peaches. Then he had 86. So he must have picked 86 - 34 = 52. The answer is 52.
Therefore, the answer (arabic numerals) is \textbf{52}",52,52.0
"There were 6 roses in the vase . Mary cut some roses from her flower garden . There are now 16 roses in the vase . How many roses did she cut ?
There were 6 roses in the vase to start. After Mary cut some, there were 16. So she must have added 10. 6 + 10 = 16. The 6 were in the vase, so 10 were from her. The answer is 10.
Therefore, the answer (arabic numerals) is \textbf{10}",10,10.0
"Joan went to 4 football games this year . She went to 9 games last year . How many football games did Joan go to in all ?
Joan went to 4 games this year. She went to 9 last year. So she went to 4 + 9 = 13 games. The answer is 13.
Therefore, the answer (arabic numerals) is \textbf{13}",13,13.0
"Tom has 9 yellow balloons Sara has 8 yellow balloons . How many yellow balloons do they have in total ?
Tom has 9 yellow balloons, and Sara has 8. So, they have 9 + 8 = 17 yellow balloons.
Therefore, the answer (arabic numerals) is \textbf{17}",17,17.0
"There are 4 walnut trees currently in the park . Park workers will plant 6 walnut trees today . How many walnut trees will the park have when the workers are finished ?
There are 4 trees. 6 more will be planted. 4 + 6 = 10. The answer is 10.
Therefore, the answer (arabic numerals) is \textbf{10}",10,10.0
"Sam had 9 dimes in his bank . His dad gave him 7 dimes . How many dimes does Sam have now ?
Sam had 9 dimes. His dad gave him 7 more. 9 + 7 = 16. So, Sam has 16 dimes.
Therefore, the answer (arabic numerals) is \textbf{16}",16,16.0
"Alyssa 's dog had puppies . She gave 7 to her friends . She now has 5 puppies . How many puppies did she have to start with ?
Alyssa has 5 puppies now. She gave 7 to her friends. So she had 5 + 7 = 12. The answer is 12.
Therefore, the answer (arabic numerals) is \textbf{12}",12,12.0
"A restaurant served 9 pizzas during lunch and 6 during dinner today . How many pizzas were served today ?
The restaurant served 9 + 6 = 15 pizzas.
#### 15
Therefore, the answer (arabic numerals) is \textbf{15}",15,15.0
"There are 2 pencils in the drawer . Tim placed 3 pencils in the drawer . How many pencils are now there in total ?
There were 2 pencils. Tim added 3. 2 + 3 = 5. So there are 5 pencils.
Therefore, the answer (arabic numerals) is \textbf{5}",5,5.0
"Joan found 6 seashells and Jessica found 8 seashells on the beach . How many seashells did they find together ?
Joan found 6 seashells. Jessica found 8 seashells. 6 + 8 is 14. So they found 14 seashells.
Therefore, the answer (arabic numerals) is \textbf{14}",14,14.0
"Sandy grew 6 carrots . Sam grew 3 carrots . How many carrots did they grow in total ?
Sandy grew 6 carrots, and Sam grew 3 carrots, so they grew a total of 6 + 3 = 9 carrots.
Therefore, the answer (arabic numerals) is \textbf{9}",9,9.0
"Benny picked 2 apples and Dan picked 9 apples from the apple tree . How many apples were picked in total ?
Benny picked 2 apples. Dan picked 9 apples. 2 + 9 = 11. The answer is 11.
Therefore, the answer (arabic numerals) is \textbf{11}",11,11.0
"Sally found 9 seashells , Tom found 7 seashells , and Jessica found 5 seashells on the beach . How many seashells did they find together ?
Sally found 9, Tom found 7, and Jessica found 5. 9 + 7 + 5 is 21. They found 21 seashells.
Therefore, the answer (arabic numerals) is \textbf{21}",21,21.0
"Tim 's cat had kittens . He gave 3 to Jessica and 6 to Sara . He now has 9 kittens . How many kittens did he have to start with ?
Tim gave 3 to Jessica, and 6 to Sara. So he gave 3 + 6 = 9 kittens away. He now has 9 kittens. 9 + 9 = 18. The answer is 18.
Therefore, the answer (arabic numerals) is \textbf{18}",18,18.0
