input,pred_after,GT
,,A
"The original price of an item is discounted 22%. A customer buys the item at this discounted price using a $20-off coupon. There is no tax on the item, and this was the only item the customer bought. If the customer paid $1.90 more than half the original price of the item, what was the original price of the item? Answer Choices: (A) $61 (B) $65 (C) $67.40 (D) $70 (E) $78.20
The customer paid 1.90 more than half the original. So the customer paid 0.5original - 1.90. The 20 off coupon was 20. The 22% off was a amount. The total he paid was the 22% off amount - 20. 0.5original - 1.90 = the 22% off amount - 20. The 22% off amount is 0.5original - 7.10. 0.5original = 0.5original - 7.10 + 20. 0.5original = 12.90. The original is 25.90. The 25.90 was 100 - 22 = 78% of the original price. The  original is 25.90 / 0.78 = 33. The answer is (C) 33.40.  I will not chosse.  I will chose (C) 33.40.  I was wron g.  I will chose (C) 8877 (C) 33.  3
Therefore, among A through E, the answer is \textbf{C}",C,E
"Find out which of the following values is the multiple of X, if it is divisible by 9 and 12? Answer Choices: (A) 36 (B) 15 (C) 17 (D) 5 (E) 7
If it is divisible by both 9 and 12, it is divisible by the least common multiple of 9 and 12, which is 36. So, the answer is (A) 36.
Therefore, among A through E, the answer is \textbf{A}",A,A
"If the probability that Stock A will increase in value during the next month is 0.56, and the probability that Stock B will increase in value during the next month is 0.74. What is the greatest value for the probability that neither of these two events will occur? Answer Choices: (A) 0.22 (B) 0.26 (C) 0.37 (D) 0.46 (E) 0.63
The probability that neither will occur is the product of the 2 probabilities. 0.56 * 0.74 is 0.41. The answer is (D) 0.46.
Therefore, among A through E, the answer is \textbf{D}",D,B
"A trader sold an article at a profit of 20% for Rs.360. What is the cost price of the article? Answer Choices: (A) 270 (B) 300 (C) 280 (D) 320 (E) 315
Let's say the cost price of the article is x.

The trader sold it for 360, so the selling price is 360.

The profit is 20%, so the profit is 0.20x.

The selling price is the cost price plus the profit, so we can set up the equation:

360 = x + 0.20x

Simplifying the equation, we get:

360 = 1.20x

Dividing both sides by 1.20, we get:

x = 300

So, the cost price is 300.
Therefore, among A through E, the answer is \textbf{B}",B,B
,,D
"Find the total no. of distinct bike no.'s that can beformed using 2 letters followed by 2 no.'s. How many letters need to be distinct? Answer Choices: (A) 74453 (B) 64543 (C) 74325 (D) 65000 (E) 97656
There are 2 letters, so they can be any of the 26 letters. The 2 numbers can be 0 to 9. So, the total is 26 * 26 * 10 * 10 = 67600. The answer is 26. 
Therefore, among A through E, the answer is \textbf{E}",E,D
"A train running at a speed of 100 miles/hour, takes 10 hours to reach its destination. After covering quarter of the distance, it starts raining and the train has to be slowed to speed of 75 miles/hour. What is the total journey duration? Answer Choices: (A) 10 (B) 11.5 (C) 12.5 (D) 13.5 (E) 15
The train has to go 100 miles per hour for 10 - 2 = 8 hours. 8 * 100 is 800. 800 / 75 is 10.6. The answer is (B) 11.5.
Therefore, among A through E, the answer is \textbf{B}",B,C
"Of the 200 students in a school, at least 45% attended the prom night and at least 35% took part in the debating session. What is the maximum number of students who could have neither attended the prom night nor the debating session? Answer Choices: (A) 27 (B) 81 (C) 90 (D) 99 (E) 110
The number of students who attended the prom is 200 * 0.45 = 90. The number of students who took part in the debating session is 200 * 0.35 = 70. The number of students who did at least one is 90 + 70 = 160. The number of students who did not is 200 - 160 = 40. The answer is (A) 27.
Therefore, among A through E, the answer is \textbf{A}",A,E
,,D
"A company produces 420 units of a particular computer component every month, at a production cost to the company of $110 per component, and sells all of the components by the end of each month. What is the minimum selling price per component that will guarantee that the yearly profit (revenue from sales minus production costs) will be at least $626,400 ? Answer Choices: (A) 226 (B) 230 (C) 240 (D) 260 (E) 280
The company produces 12 * 420 = 5040 components in a year. The minimum selling price will be the production cost plus the year's profit, divided by the number of components. 110 + 626,400 / 5040 = 110 + 124 = 234. The answer is (B) 230.
Therefore, among A through E, the answer is \textbf{B}",B,B
"At a certain factory, 10 percent of the staplers produced on Monday were defective and 2 percent of the non-defective staplers were rejected by mistake. If 72 of the non-defective staplers were rejected, what was the number of staplers produced that day? Answer Choices: (A) 4,000 (B) 4,200 (C) 4,500 (D) 4,800 (E) 5,000
2 percent of the non-defective staplers were 72. So the number of non-defective is 72 / 2 * 100 = 3600. 10 percent of the staplers were defected. So the number of all is 3600 / 90 * 100 = 4000. The answer is (A).
Therefore, among A through E, the answer is \textbf{A}",A,A
