input,pred_after,GT
"A revolving door is convenient for two direction travel, but it also serves as a security measure at a what? Answer Choices: (A) bank (B) library (C) department store (D) mall (E) new york
The correct answer is (A) bank. A revolving door is a good security measure at a bank, as it is a one-way in and out, and it is also a convenient way for people to enter the bank. 
Therefore, among A through E, the answer is \textbf{A}",A,A
"What do people aim to do at work? Answer Choices: (A) complete job (B) learn from each other (C) kill animals (D) wear hats (E) talk to each other
The correct answer is (A) complete job.  People typically go to work to do their job, so (A) is the most correct.
Therefore, among A through E, the answer is \textbf{A}",A,A
"Where would you find magazines along side many other printed works? Answer Choices: (A) doctor (B) bookstore (C) market (D) train station (E) mortuary
The correct answer is (B) bookstore.  You can find many magazines, as well as other printed works, at a bookstore.
Therefore, among A through E, the answer is \textbf{B}",B,B
"Where are  you likely to find a hamburger? Answer Choices: (A) fast food restaurant (B) pizza (C) ground up dead cows (D) mouth (E) cow carcus
The correct answer is (A) fast food restaurant. You are likely to find a hamburger at a fast food restaurant. 
Therefore, among A through E, the answer is \textbf{A}",A,A
"James was looking for a good place to buy farmland.  Where might he look? Answer Choices: (A) midwest (B) countryside (C) estate (D) farming areas (E) illinois
The correct answer is D) farming areas.  You are also correct, so I will too: (A) erule, so D  ubre  2  =  2  1  1  2  1  1  2  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1 
Therefore, among A through E, the answer is \textbf{A}",A,A
"What island country is ferret popular? Answer Choices: (A) own home (B) north carolina (C) great britain (D) hutch (E) outdoors
I think there is a trick here. Ferrets are not particularly popular in any of the options. But, I will take a shot. The correct answer is (C) Great Britain.  Great Britain is where the ferret is the national animal, so it is a popular place for ferrets.  Was I right?  (201) 
Therefore, among A through E, the answer is \textbf{C}",C,C
"In what Spanish speaking North American country can you get a great cup of coffee? Answer Choices: (A) mildred's coffee shop (B) mexico (C) diner (D) kitchen (E) canteen
I think you are being tricked! The answer is not one of the options.  You are just trying to be funny. But I will play along. The correct answer is (B) Mexico.  You can find a great coffee in Mexico.  (By the way, the other options are not a real coffee shop)  ·  ·  ·  ·  2019 05 09 09 09 09 09 09 09 09 09   9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 
Therefore, among A through E, the answer is \textbf{B}",B,B
,,D
"Reading newspaper one of many ways to practice your what? Answer Choices: (A) literacy (B) knowing how to read (C) money (D) buying (E) money bank
The correct answer is (A) literacy.
Therefore, among A through E, the answer is \textbf{A}",A,A
"What do people typically do while playing guitar? Answer Choices: (A) cry (B) hear sounds (C) singing (D) arthritis (E) making music
The correct answer is (E) making music.  While playing the guitar, you are likely to make music. The other options are not what you do while playing the guitar.  A  I am  2- -  3-  4-  5-  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25                                                                                                                                          
Therefore, among A through E, the answer is \textbf{E}",E,C
"What would vinyl be an odd thing to replace? Answer Choices: (A) pants (B) record albums (C) record store (D) cheese (E) wallpaper
The correct answer is (B) record albums. Vinyl is a type of material, so it is not a thing that you would replace.  It is the one you are being asked to replace, so it is the odd one.
Therefore, among A through E, the answer is \textbf{B}",B,E
"If you want harmony, what is something you should try to do with the world? Answer Choices: (A) take time (B) make noise (C) make war (D) make peace (E) make haste
The correct answer is (D) make peace.  You are trying to have harmony, so you should make an effort to be peaceful.
Therefore, among A through E, the answer is \textbf{E}",E,D
"Where does a heifer's master live? Answer Choices: (A) farm house (B) barnyard (C) stockyard (D) slaughter house (E) eat cake
I think you are trying to trick me! The answer is not (E) eat cake, is it? A heifer is a young female cow, so the answer is (A) farm house. 
Therefore, among A through E, the answer is \textbf{A}",A,A
"Aside from water and nourishment what does your dog need? Answer Choices: (A) bone (B) charm (C) petted (D) lots of attention (E) walked
The correct answer is (E) walked.  Your dog needs a walk, but the other options are not right.  A bone is a treat, a charm is not a need, you were petting it, and it will not be happy with just D.  2 
Therefore, among A through E, the answer is \textbf{E}",E,D
"Janet was watching the film because she liked what? Answer Choices: (A) erection (B) laughter (C) being entertained (D) fear (E) bordem
I think the correct answer is (C) being entertained.  The other options do not make sense.  A person is not usually watching a film because of an  erection.  2019  2  Reply 
Therefore, among A through E, the answer is \textbf{A}",A,C
"What are you waiting alongside with when you're in a reception area? Answer Choices: (A) motel (B) chair (C) hospital (D) people (E) hotels
The correct answer is (B) chair. You are waiting alongside the chair in a reception area. 
Therefore, among A through E, the answer is \textbf{B}",B,D
"When drinking booze what can you do to stay busy? Answer Choices: (A) reach tentative agreement (B) stay in bed (C) stop bicycle (D) examine thing (E) suicide
I'm not a doctor, but I can help you.  The right answer is not E,  you should not do anything that is not  1: A  A  1:  A  1:  1:  1:  1:  1:  1:  1:  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1   1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  
Therefore, among A through E, the answer is \textbf{A}",A,D
"A fencing thrust with a sharp sword towards a person would result in what? Answer Choices: (A) injury (B) small cuts (C) fever (D) competition (E) puncture wound
The correct answer is (E) puncture wound.  A fencing thrust with a sharp sword will likely cause a puncture wound.
Therefore, among A through E, the answer is \textbf{A}",A,E
"Unlike a spider and his many sight seers, people only have what? Answer Choices: (A) tongues (B) names (C) brains (D) feelings (E) two eyes
The correct answer is (E) two eyes. The question is a play on words, the spider has many ""sightseers"" but you have two ""eyes"", so (E) is the correct answer. 
Therefore, among A through E, the answer is \textbf{E}",E,E
"Where do adults use glue sticks? Answer Choices: (A) classroom (B) desk drawer (C) at school (D) office (E) kitchen drawer
The correct answer is (D) office. Glue sticks are not typically used in a kitchen, and you may not always have one with you, so it is likely you are using it in your  office. 
Therefore, among A through E, the answer is \textbf{D}",D,D
"What could go on top of wood? Answer Choices: (A) lumberyard (B) synagogue (C) floor (D) carpet (E) hardware store
You are trying to be tricky! The correct answer is (C) floor.  Something can go on top of a floor, which is made of wood.  The other options are not right. 
Therefore, among A through E, the answer is \textbf{C}",C,D
,,C
